date,MST_method1_degree_weighted,MST_method1_market_cap_same_X,MST_method2_degree_weighted,MST_method2_market_cap_same_X,MST_method3_degree_weighted,MST_method3_market_cap_same_X,MST_method4_degree_weighted,MST_method4_market_cap_same_X,Top_market_cap_weighted
2023-11-16,161944.87838796756,163075.22842248195,167430.28127435315,172626.59720198743,175525.81506291026,154542.58316663222,168183.62996494214,174511.06532382072,121716.7765975907
2023-11-17,163601.9904379979,164728.54521912828,168837.65528283743,174419.3778792624,177326.9281450883,156196.38940614273,169194.07790564833,176265.4220551868,123008.50173954725
2023-11-20,164987.44342099686,166172.6800669023,170512.36239279128,176077.6168166718,178797.33167106682,157607.31323939632,170627.87224862367,177781.03833629418,124124.305218899
2023-11-21,163271.2743740169,164489.81438457378,168598.7156791733,174382.85717125426,176884.64664964046,156064.55165633195,168652.31020764617,176057.54246963668,122906.55943397807
2023-11-22,163280.56744482572,163963.10876575447,169218.8028406363,174576.80188177124,177146.02225886658,156086.29622194511,169246.75485596544,176170.94739317388,122728.58933604423
2023-11-23,163977.21940189743,164859.98113023752,169514.14643226666,174922.02267943122,177606.65532277827,156396.57257806323,169519.03559996982,176528.25499635047,123252.21078959703
2023-11-24,164963.90007796956,166083.39771142678,170859.75129529327,176436.68739535462,179087.2544209836,157728.3479027464,170641.5144388033,177982.41148578783,124181.67225285768
2023-11-27,164477.3959267446,165864.12577488954,170699.7213429745,176496.34852717558,178573.30363570707,157574.193652585,170065.25176179202,177899.09107136392,123968.27490917132
2023-11-28,164540.17211778043,166484.53221561064,170836.94238903344,176965.07957911972,178910.893207476,157968.71881136228,170268.22832402337,178452.90201280368,124189.54797661785
2023-11-29,165205.00441496389,166560.77778376546,171679.89674853624,176969.21372949157,179482.34258692182,158088.9280459672,170893.60776391087,178420.6420343767,124516.76691517489
2023-11-30,165929.02998188644,167255.65154391868,171884.3390535915,176947.96222009524,179709.1797463848,158202.79679923147,171066.30685326672,178461.22050164756,124481.14753471734
2023-12-01,166462.15674379765,167936.83238640233,172142.93922439427,177265.07419061006,180507.41835576826,158703.11674483886,171514.64422620862,178868.70271736567,124984.07566349603
