Date,A2A,AMP,AZM,BAMI,BC,BMED,BMPS,BPE,BZU,CPR,DIA,ENEL,ENI,ERG,FBK,G,HER,IG,INW,IP,ISP,LDO,MB,MONC,PRY,PST,RACE,REC,SPM,SRG,STLAM,STM,TEN,TIT,TRN,UCG,UNI
2024-08-12,11455429.755709171,10134816.212659836,9842708.520349503,25699839.670244694,6591791.042953491,10210030.583129883,96060989.95757675,31681669.297285557,9684258.76020813,15770538.87769413,6228822.505050659,85057622.57514954,95548972.46438503,4792514.061355591,17926307.361106873,78689722.1741867,3794246.500740528,5604055.585678101,6917268.755447388,7321334.901748657,146135109.167243,36699008.73441696,14060557.072389603,18983287.397781372,33371381.295967102,13932143.572289467,78561306.98638916,5293852.082008362,44914057.117648125,15270104.410686493,125560666.88861847,27068116.173028946,17799071.724157333,13249470.936545283,15763852.961334229,217359357.061203,13480333.89796257
2024-08-13,13267660.836927533,10798305.880680084,8257430.5507164,27207202.774658203,5314512.0,12314380.915847778,82239074.85774326,56072054.11136532,7005314.686660767,12134354.594112396,7549885.67691803,107470863.2407093,92047092.5630951,5684440.986934662,20260500.99358368,65477388.270973206,5003894.351410866,9820952.293756962,9596053.281993866,7087418.97518158,222596876.09123468,25050557.982450485,15408543.777910233,23817101.88434601,30537092.90421295,14278654.294730186,86658257.84518433,8441450.92829132,46361929.8708272,19537658.41875553,173271954.2206974,42517326.85181427,17471451.67339325,21470524.14187409,22798172.297286987,219429269.89611053,8280012.372962952
2024-08-14,18337670.41452408,12440259.112125397,10179670.789592743,28279497.651705265,7321537.667945862,5789492.58764267,51438246.10612106,34038874.71670437,8902947.999404907,17080406.36391449,5476459.254455566,77045653.66198969,81129099.05176163,5539602.878046036,21603052.166748047,46461001.22516632,4032063.714112997,7954365.384206772,11173628.791938782,5442345.798492432,131713632.86419487,56840300.995391846,13180306.400696754,22600679.609298706,43905481.95808411,14408275.461322784,189754250.0,5933799.051261902,29528128.32810867,13795990.30701065,134536971.65775204,65604660.89089966,21905425.093414307,28396418.8619242,20628228.236963272,218638285.09086227,10254119.700315475
2024-08-16,19796735.063648224,17093720.64151001,11574528.8332901,54730952.30603027,9697666.5,13847616.961784363,94169218.5,61477034.035245895,10782223.573539734,31192394.920383453,8826541.231842041,128962395.39953756,137608174.31987762,8486588.995370865,31065370.498369217,84407098.1687069,6587652.802569866,11522010.0,12246676.112789154,9735692.610092163,254519201.12934256,42204669.005851746,41684342.809295654,32233001.0,65361840.403289795,23254563.282689095,245892186.0,11230973.261322021,55527480.51569176,26477701.42794466,174279249.182765,88279894.30731773,24880909.170754433,33611814.6314832,24707979.505770206,313437043.81608963,15167582.741981506
2024-08-19,17667610.098165035,14562044.474990845,7004629.422290802,28250363.90750742,10362368.539413452,11752223.269546509,63008293.84047985,39250377.73651981,7280243.438064575,16869855.00232029,9338763.0,67125295.53285742,112726648.76333618,5209837.326400757,17825123.429344177,64523052.29924011,4059947.3922789097,8456815.0,15907521.030212402,5169356.5,139180867.73456573,69996891.70588112,16659675.759011269,23119580.05958557,23093671.312576294,14334098.240956306,114123011.32324219,10724364.324684143,33462799.660180807,19573036.47737074,156245857.34615707,45751295.59989929,23241281.689949036,71119022.04750837,17941355.118979454,226912078.49952698,10249249.167442322
2024-08-20,15965422.687205315,10465211.076656342,7688076.116952896,49199151.1480422,10388834.219039917,11022583.403514862,53933893.65623474,30989932.81690693,8796316.246765137,19267809.15231371,6840288.0,68952091.04601955,113058189.3281784,3240710.397590637,12560830.314271927,72061523.07289124,3898865.990890503,5995154.1677856445,11707435.78868866,4449100.453567505,150761891.22445726,37777969.68542099,20590337.06970024,24405363.884552002,23922423.437957764,14626904.161937714,92179579.67468262,12108794.564788818,46411719.51865482,17471723.75710869,168769898.1275444,55204793.68496704,33749487.5,34046304.875258476,15317196.502422333,276875320.53900146,9935919.394097328
2024-08-21,12477651.810510635,6174713.754615784,4458393.257644653,35475351.382743835,7554544.329666138,8765022.850456238,42414308.970870495,27440126.714870453,12415953.470855713,17652348.49057007,6846378.0,74834059.08503056,80452315.97831726,3257671.3094596863,20980460.62206459,64631679.58059311,4684159.387435913,7518864.102013588,10236215.183351517,3408632.7988586426,131623486.12487388,28239171.74242401,21282819.5236845,35722884.26885986,21844504.927310944,9269892.364239693,135925510.0769043,10365851.694946289,68246066.56974196,20266102.649818897,122794563.43693542,71588689.46899033,33202236.859226227,25047192.559275627,19420410.11777401,160172516.55669403,7160014.60354805
2024-08-22,18414790.92993164,3997668.791814804,4827428.252191544,28278281.691527367,14860733.5,8683884.445203781,35982073.47098923,28385885.254122734,15701894.507537842,8554499.809436798,10269082.354530334,76977778.93432093,94099113.49752045,3161916.242614746,16550130.589385033,82857964.29251671,5126609.018643856,4670000.662856102,8331886.348846436,6943501.015388489,148744539.12438083,21664278.600406647,17350634.918231964,26708793.667007446,27882736.282356262,9279572.455248833,148357462.80044556,11862914.752166748,66363235.958333015,12218111.059235573,118667019.13150787,36051309.21851349,22487318.54735565,29197374.454880893,24188260.960109234,192464067.10248947,10326636.17527771
2024-08-23,13311296.333696842,6108691.939567566,6588461.500497818,32316462.479614735,11019635.012336731,8627180.552361488,33308043.88106203,26285643.66765976,7060817.246395111,11275161.478866577,8470926.0,112401864.07794237,93120610.07859802,3159344.078430176,13939635.043117523,68699507.22924805,3331189.514312744,9760359.847602844,9502371.403884888,4427265.424987793,173621439.08024693,24124853.194490433,23132317.72500229,16969430.28541565,29585760.834754944,12007257.565026283,105970832.0,5909902.625236511,41400795.72740364,16546522.812402248,135482569.91453934,80136134.00337219,22167888.128308296,19741078.578264713,24699496.09540558,162178735.06417847,8068663.385349274
2024-08-26,9117401.949666739,6852219.253833771,8617597.657403946,19009817.14189911,6035458.205108643,7250407.8606033325,20836118.81679344,24455978.957654953,3535040.6154823303,13465473.467936516,3762595.0876464844,64257186.19055128,131860734.69015503,2508155.527999878,9780174.515386581,62416160.21702576,2946780.8332004547,4819088.983955383,7593999.281536102,3669824.5383911133,91199999.37135315,17480795.183221817,9190096.38370514,16504600.0,21863754.952423096,9607432.723941803,66750735.05340576,9614552.656311035,34061670.59896946,7765871.3708992,80739252.3524952,50988974.091236115,22540624.833586693,63407473.92351857,10497649.748892784,104658569.79627228,5198166.766242027
2024-08-27,12539628.621596813,7599367.4591674805,7052132.657339096,24469893.830429077,10635167.515800476,6250226.1679029465,31220636.78385973,26844535.722815037,4261088.644237518,25983481.79064274,7589629.68712616,127137135.5459404,90039000.78212357,8623936.471881866,12958732.644882202,75155061.9403801,3172334.241025448,6598688.5697898865,10873195.431289673,3939679.168624878,165810481.23688102,29367730.5,14664540.0,26216097.613830566,26322222.680603027,10591922.07242775,122781856.62426758,5384098.75983429,48059774.096811295,12456059.08048439,139145524.56072998,60001509.95029831,24732995.0704422,52999853.218133435,16110805.802152634,128557307.66061401,5998661.798000336
2024-08-28,20521182.28750348,7189358.794244766,6633372.107336044,40968724.01883507,8017303.5,7409301.837934494,35126443.265686035,38782250.218271255,7656145.0,18040398.027324677,19738169.672042847,111852900.73055649,87292545.46347332,2644880.9733810425,21544715.5,93128924.55583572,6824103.768489361,9005285.38475418,6291021.711103439,4887429.859451294,157976304.79058075,61214169.223869324,18829559.340633392,22554290.0,28697423.36883545,14680176.302890778,98859096.34039307,10452043.25,43686865.8546505,22814942.261030674,124005570.42164707,58174633.759651184,33665814.05922985,30144677.550793856,15085496.768888474,133974789.75342941,10988194.0
2024-08-29,12826543.451217651,10882011.963033676,5846713.500431061,31656656.248021126,24282693.95980835,7863266.918395042,41454624.86067057,28817080.3137908,6319723.563411713,43801728.95293236,10797958.405952454,117287201.99106646,111276638.03512573,3467443.178100586,15993932.75057602,120580738.22070694,3728927.0453252792,8468681.69590187,7429141.466461182,8414465.80721283,188149805.97451305,50732814.15491867,23344481.648031235,29102941.961112976,26345614.936351776,16233468.850617409,124213595.69784546,10083136.203609467,51532342.254080296,19240443.653133392,100965704.18769455,86526992.32369232,75924510.46983147,35530732.05004844,18693057.589731216,179464100.69888306,8180078.330154419
2024-08-30,18555932.140120268,21473819.741340637,12204018.791625977,42667254.13087845,15680438.75,13863661.739301682,52103319.215369225,61405831.70559883,14445237.120250702,31417512.490917206,20179536.0,182431106.41913843,373531477.6341553,17492526.39289856,33665434.94480896,140519274.54010963,8239258.485158443,18519522.725177765,15937296.910491943,10637087.029270172,250655389.99755788,50805564.53413391,36371008.691913605,63539415.84068298,88190099.52251434,29519733.948640823,181559180.15594482,18427199.0,39087759.069108486,38789393.382642746,263456279.08246708,71094231.645792,76742492.0860033,37207348.402558565,51418376.193154335,325441391.15932846,9321847.665761948
2024-09-02,7390576.713769913,19711628.213005066,12955135.411727905,28654524.675230026,9857963.357940674,11730237.607510567,52016716.20311737,45654289.37432957,6467451.966064453,15531692.498016357,21743886.0,88307307.96271849,62809453.58503723,6717227.273719788,12906512.932780266,60048675.0,7889228.117251396,6295916.073168755,9848779.698635101,7874330.376819611,149897407.00069475,189813452.20111847,12925718.182153702,27710730.554656982,19420456.267284393,17645025.43784523,84529934.0,6424247.886184692,25874058.759394884,11963387.034592628,141177024.6826439,59588545.91819,25379386.12536621,23644730.983201057,13155299.523769855,171973259.0020752,6857792.721496582
2024-09-03,9223322.534099579,11500552.548196793,9698170.119718552,56557616.87235165,23188123.01763916,14847943.570604324,131714031.53643036,61482116.371011734,6464888.953227997,25369300.96045494,9759385.052703857,125740750.37536955,202406276.4123745,5246660.656734467,23828796.35128784,114127687.75121689,5632928.701212645,12179452.217082977,8101078.20293045,5445686.238506317,214538469.29718232,86772018.15645218,18989851.079738617,31723875.28668976,38861388.73161316,19747996.523319244,141933005.4960327,5649599.9183654785,101333774.46298027,20555244.348301888,181033292.22006512,96101446.74039459,43257010.0,35674204.4609164,21956044.442510605,230800145.07331848,8568336.189106941
